gejala,relevance_score,nama_herb,nama_latin,nama_lokal,link_gambar,deskripsi_khasiat,mengatasi_gejala,komposisi,cara_menggunakan
Mual,"0,4",Keji beling,Strobilanthes crispus,Pecah Kaca (Sunda); Daun Pecah Beling (Jawa); Daun Remuk (Sumatera); Pecah Batu (Aceh); Balas Beling (Sulawesi).,https://drive.google.com/file/d/1xoq7gHvGC4FaAGRwH7yw7he9vJEWSw6W/view?usp=drive_link,"tanaman semak dengan daun lebar hijau tua yang sering digunakan dalam pengobatan tradisional. Daunnya mengandung senyawa bioaktif yang dikenal memiliki sifat diuretik dan detoksifikasi. Dalam pengobatan tradisional, tanaman ini sering digunakan untuk mengatasi masalah batu ginjal dan infeksi saluran kemih. Khasiat lainnya meliputi membantu menurunkan tekanan darah, mempercepat penyembuhan luka, dan mengatasi gangguan pencernaan. Daunnya juga sering dijadikan teh herbal yang menyegarkan.","Perut kembung
Mual
Sering buang air kecil
Nyeri otot
Pembengkakan","Flavonoid, saponin, alkaloid, tanin.","Untuk mual, cuci bersih 5-7 lembar daun keji beling, rebus dalam 2 gelas air selama 10 menit. Minum air rebusan hangat ini secara perlahan, satu kali sehari, untuk menenangkan perut."
Gangguan pencernaan,"0,9",Keji beling,Strobilanthes crispus,Pecah Kaca (Sunda); Daun Pecah Beling (Jawa); Daun Remuk (Sumatera); Pecah Batu (Aceh); Balas Beling (Sulawesi).,https://drive.google.com/file/d/1xoq7gHvGC4FaAGRwH7yw7he9vJEWSw6W/view?usp=drive_link,"tanaman semak dengan daun lebar hijau tua yang sering digunakan dalam pengobatan tradisional. Daunnya mengandung senyawa bioaktif yang dikenal memiliki sifat diuretik dan detoksifikasi. Dalam pengobatan tradisional, tanaman ini sering digunakan untuk mengatasi masalah batu ginjal dan infeksi saluran kemih. Khasiat lainnya meliputi membantu menurunkan tekanan darah, mempercepat penyembuhan luka, dan mengatasi gangguan pencernaan. Daunnya juga sering dijadikan teh herbal yang menyegarkan.","Perut kembung
Mual
Sering buang air kecil
Nyeri otot
Pembengkakan","Flavonoid, saponin, alkaloid, tanin.","Keji beling membantu menormalkan frekuensi buang air kecil. Rebus 7-10 lembar daun keji beling dengan 3 gelas air hingga tersisa 1,5 gelas. Saring dan minum air rebusan ini dua kali sehari untuk membantu fungsi saluran kemih."
Nyeri otot,"0,5",Keji beling,Strobilanthes crispus,Pecah Kaca (Sunda); Daun Pecah Beling (Jawa); Daun Remuk (Sumatera); Pecah Batu (Aceh); Balas Beling (Sulawesi).,https://drive.google.com/file/d/1xoq7gHvGC4FaAGRwH7yw7he9vJEWSw6W/view?usp=drive_link,"tanaman semak dengan daun lebar hijau tua yang sering digunakan dalam pengobatan tradisional. Daunnya mengandung senyawa bioaktif yang dikenal memiliki sifat diuretik dan detoksifikasi. Dalam pengobatan tradisional, tanaman ini sering digunakan untuk mengatasi masalah batu ginjal dan infeksi saluran kemih. Khasiat lainnya meliputi membantu menurunkan tekanan darah, mempercepat penyembuhan luka, dan mengatasi gangguan pencernaan. Daunnya juga sering dijadikan teh herbal yang menyegarkan.","Perut kembung
Mual
Sering buang air kecil
Nyeri otot
Pembengkakan","Flavonoid, saponin, alkaloid, tanin.","Untuk meredakan nyeri otot, rebus 7-8 lembar daun keji beling dalam 2 gelas air hingga menyusut menjadi 1 gelas. Minum air rebusan hangat ini setelah aktivitas berat untuk membantu mengurangi peradangan dan nyeri pada otot."
Pembengkakan,"0,8",Keji beling,Strobilanthes crispus,Pecah Kaca (Sunda); Daun Pecah Beling (Jawa); Daun Remuk (Sumatera); Pecah Batu (Aceh); Balas Beling (Sulawesi).,https://drive.google.com/file/d/1xoq7gHvGC4FaAGRwH7yw7he9vJEWSw6W/view?usp=drive_link,"tanaman semak dengan daun lebar hijau tua yang sering digunakan dalam pengobatan tradisional. Daunnya mengandung senyawa bioaktif yang dikenal memiliki sifat diuretik dan detoksifikasi. Dalam pengobatan tradisional, tanaman ini sering digunakan untuk mengatasi masalah batu ginjal dan infeksi saluran kemih. Khasiat lainnya meliputi membantu menurunkan tekanan darah, mempercepat penyembuhan luka, dan mengatasi gangguan pencernaan. Daunnya juga sering dijadikan teh herbal yang menyegarkan.","Perut kembung
Mual
Sering buang air kecil
Nyeri otot
Pembengkakan","Flavonoid, saponin, alkaloid, tanin.",Keji beling bersifat diuretik alami yang dapat membantu mengurangi bengkak akibat retensi cairan. Rebus 10 lembar daun dalam 3 gelas air hingga tersisa 2 gelas. Minum satu gelas di pagi hari dan satu gelas di malam hari.
Dehidrasi,1,Kelapa,Cocos nucifera,Nyuh (Bali); Kalapa (Jawa); Pohon Kelapa (Sunda); Pohon Niu (Sulawesi); Kalipah (Aceh).,https://drive.google.com/file/d/1xoq7gHvGC4FaAGRwH7yw7he9vJEWSw6W/view?usp=drive_link,"pohon tropis dengan batang tinggi, daun menjuntai panjang, dan buah berbentuk bulat dengan serat kasar. Buahnya kaya akan nutrisi, seperti elektrolit, mineral, dan vitamin yang baik untuk menjaga kesehatan tubuh. Selain air kelapa yang terkenal sebagai minuman penyegar, daging buahnya sering digunakan dalam masakan dan obat tradisional. Khasiatnya meliputi membantu mengatasi dehidrasi, memperbaiki pencernaan, dan meningkatkan sistem imun. Selain itu, minyak kelapa juga dikenal sebagai bahan alami untuk perawatan kulit dan rambut.","Dehidrasi
Luka bakar ringan
Kulit kering
Rambut rontok
Ketombe","Elektrolit, vitamin B kompleks, lemak sehat.","Air kelapa muda kaya akan elektrolit yang membantu mengatasi dehidrasi. Minum air kelapa segar 1-2 gelas, terutama setelah beraktivitas berat atau mengalami diare, untuk menggantikan cairan tubuh yang hilang."
Luka bakar ringan,"0,8",Kelapa,Cocos nucifera,Nyuh (Bali); Kalapa (Jawa); Pohon Kelapa (Sunda); Pohon Niu (Sulawesi); Kalipah (Aceh).,https://drive.google.com/file/d/1xoq7gHvGC4FaAGRwH7yw7he9vJEWSw6W/view?usp=drive_link,"pohon tropis dengan batang tinggi, daun menjuntai panjang, dan buah berbentuk bulat dengan serat kasar. Buahnya kaya akan nutrisi, seperti elektrolit, mineral, dan vitamin yang baik untuk menjaga kesehatan tubuh. Selain air kelapa yang terkenal sebagai minuman penyegar, daging buahnya sering digunakan dalam masakan dan obat tradisional. Khasiatnya meliputi membantu mengatasi dehidrasi, memperbaiki pencernaan, dan meningkatkan sistem imun. Selain itu, minyak kelapa juga dikenal sebagai bahan alami untuk perawatan kulit dan rambut.","Dehidrasi
Luka bakar ringan
Kulit kering
Rambut rontok
Ketombe","Elektrolit, vitamin B kompleks, lemak sehat.",Minyak kelapa dapat digunakan untuk meredakan rasa perih pada luka bakar ringan. Oleskan minyak kelapa murni secara tipis dan lembut pada area yang terkena setelah membersihkannya. Ulangi 2-3 kali sehari untuk membantu proses penyembuhan.
Kulit kering,"0,9",Kelapa,Cocos nucifera,Nyuh (Bali); Kalapa (Jawa); Pohon Kelapa (Sunda); Pohon Niu (Sulawesi); Kalipah (Aceh).,https://drive.google.com/file/d/1xoq7gHvGC4FaAGRwH7yw7he9vJEWSw6W/view?usp=drive_link,"pohon tropis dengan batang tinggi, daun menjuntai panjang, dan buah berbentuk bulat dengan serat kasar. Buahnya kaya akan nutrisi, seperti elektrolit, mineral, dan vitamin yang baik untuk menjaga kesehatan tubuh. Selain air kelapa yang terkenal sebagai minuman penyegar, daging buahnya sering digunakan dalam masakan dan obat tradisional. Khasiatnya meliputi membantu mengatasi dehidrasi, memperbaiki pencernaan, dan meningkatkan sistem imun. Selain itu, minyak kelapa juga dikenal sebagai bahan alami untuk perawatan kulit dan rambut.","Dehidrasi
Luka bakar ringan
Kulit kering
Rambut rontok
Ketombe","Elektrolit, vitamin B kompleks, lemak sehat.","Minyak kelapa dapat melembapkan kulit yang kering atau pecah-pecah. Oleskan minyak kelapa murni pada kulit kering, pijat lembut hingga meresap. Gunakan setiap malam sebelum tidur untuk hasil optimal."
Nyeri otot,"0,7",Kelapa,Cocos nucifera,Nyuh (Bali); Kalapa (Jawa); Pohon Kelapa (Sunda); Pohon Niu (Sulawesi); Kalipah (Aceh).,https://drive.google.com/file/d/1xoq7gHvGC4FaAGRwH7yw7he9vJEWSw6W/view?usp=drive_link,"pohon tropis dengan batang tinggi, daun menjuntai panjang, dan buah berbentuk bulat dengan serat kasar. Buahnya kaya akan nutrisi, seperti elektrolit, mineral, dan vitamin yang baik untuk menjaga kesehatan tubuh. Selain air kelapa yang terkenal sebagai minuman penyegar, daging buahnya sering digunakan dalam masakan dan obat tradisional. Khasiatnya meliputi membantu mengatasi dehidrasi, memperbaiki pencernaan, dan meningkatkan sistem imun. Selain itu, minyak kelapa juga dikenal sebagai bahan alami untuk perawatan kulit dan rambut.","Dehidrasi
Luka bakar ringan
Kulit kering
Rambut rontok
Ketombe","Elektrolit, vitamin B kompleks, lemak sehat.","Campurkan 2-3 sendok makan minyak kelapa hangat dengan 2-3 tetes minyak esensial, seperti minyak peppermint atau lavender, lalu memijat lembut area yang nyeri. "
Perut kembung,"0,6",Kelapa,Cocos nucifera,Nyuh (Bali); Kalapa (Jawa); Pohon Kelapa (Sunda); Pohon Niu (Sulawesi); Kalipah (Aceh).,https://drive.google.com/file/d/1xoq7gHvGC4FaAGRwH7yw7he9vJEWSw6W/view?usp=drive_link,"pohon tropis dengan batang tinggi, daun menjuntai panjang, dan buah berbentuk bulat dengan serat kasar. Buahnya kaya akan nutrisi, seperti elektrolit, mineral, dan vitamin yang baik untuk menjaga kesehatan tubuh. Selain air kelapa yang terkenal sebagai minuman penyegar, daging buahnya sering digunakan dalam masakan dan obat tradisional. Khasiatnya meliputi membantu mengatasi dehidrasi, memperbaiki pencernaan, dan meningkatkan sistem imun. Selain itu, minyak kelapa juga dikenal sebagai bahan alami untuk perawatan kulit dan rambut.","Dehidrasi
Luka bakar ringan
Kulit kering
Rambut rontok
Ketombe","Elektrolit, vitamin B kompleks, lemak sehat.",Minum air kelapa muda sebanyak 1 gelas (200–250 ml) dua kali sehari untuk membantu mengembalikan keseimbangan elektrolit dan meredakan perut kembung.
Kelelahan,"0,9",Kelor,Moringa oleifera,Maronggi (Sunda); Merunggai (Melayu); Daun Moringa (Sumatera); Kelar (Sulawesi); Kelo (Jawa).,https://drive.google.com/file/d/1xoq7gHvGC4FaAGRwH7yw7he9vJEWSw6W/view?usp=drive_link,"pohon kecil dengan daun berbentuk oval yang kaya akan nutrisi dan sering digunakan sebagai sayuran dan obat herbal. Daunnya mengandung vitamin C, kalsium, dan protein yang bermanfaat untuk kesehatan tubuh. Dalam pengobatan tradisional, sering digunakan untuk meningkatkan energi, melancarkan ASI pada ibu menyusui, dan memperbaiki fungsi hati. Khasiat lainnya meliputi membantu menurunkan kadar gula darah, meningkatkan daya tahan tubuh, dan memperbaiki kesehatan tulang. Daunnya sering diolah menjadi sup atau teh herbal.","Kelelahan
Pembengkakan
Kulit gatal
Nyeri sendi
Imun lemah","Vitamin C, kalsium, protein, flavonoid.","Untuk mengatasi kelelahan, gunakan daun kelor segar atau kering sebagai teh. Rebus 1-2 sendok makan daun kelor dalam segelas air selama 5-10 menit, lalu saring dan minum hangat. Kandungan vitamin dan mineralnya membantu meningkatkan energi dan mengurangi rasa lelah."
Pembengkakan,"0,85",Kelor,Moringa oleifera,Maronggi (Sunda); Merunggai (Melayu); Daun Moringa (Sumatera); Kelar (Sulawesi); Kelo (Jawa).,https://drive.google.com/file/d/1xoq7gHvGC4FaAGRwH7yw7he9vJEWSw6W/view?usp=drive_link,"pohon kecil dengan daun berbentuk oval yang kaya akan nutrisi dan sering digunakan sebagai sayuran dan obat herbal. Daunnya mengandung vitamin C, kalsium, dan protein yang bermanfaat untuk kesehatan tubuh. Dalam pengobatan tradisional, sering digunakan untuk meningkatkan energi, melancarkan ASI pada ibu menyusui, dan memperbaiki fungsi hati. Khasiat lainnya meliputi membantu menurunkan kadar gula darah, meningkatkan daya tahan tubuh, dan memperbaiki kesehatan tulang. Daunnya sering diolah menjadi sup atau teh herbal.","Kelelahan
Pembengkakan
Kulit gatal
Nyeri sendi
Imun lemah","Vitamin C, kalsium, protein, flavonoid.",Buat pasta dari daun kelor segar dengan cara menumbuknya hingga halus. Oleskan langsung pada area yang bengkak sebagai kompres alami. Sifat anti-inflamasi pada kelor membantu mengurangi pembengkakan dan mempercepat pemulihan.
Kulit gatal,"0,7",Kelor,Moringa oleifera,Maronggi (Sunda); Merunggai (Melayu); Daun Moringa (Sumatera); Kelar (Sulawesi); Kelo (Jawa).,https://drive.google.com/file/d/1xoq7gHvGC4FaAGRwH7yw7he9vJEWSw6W/view?usp=drive_link,"pohon kecil dengan daun berbentuk oval yang kaya akan nutrisi dan sering digunakan sebagai sayuran dan obat herbal. Daunnya mengandung vitamin C, kalsium, dan protein yang bermanfaat untuk kesehatan tubuh. Dalam pengobatan tradisional, sering digunakan untuk meningkatkan energi, melancarkan ASI pada ibu menyusui, dan memperbaiki fungsi hati. Khasiat lainnya meliputi membantu menurunkan kadar gula darah, meningkatkan daya tahan tubuh, dan memperbaiki kesehatan tulang. Daunnya sering diolah menjadi sup atau teh herbal.","Kelelahan
Pembengkakan
Kulit gatal
Nyeri sendi
Imun lemah","Vitamin C, kalsium, protein, flavonoid.","Rebus beberapa daun kelor dalam air hingga mendidih, lalu gunakan air rebusannya untuk mencuci area kulit yang terasa gatal. Alternatifnya, daun yang ditumbuk juga dapat dioleskan langsung untuk meredakan iritasi."
Nyeri sendi,"0,8",Kelor,Moringa oleifera,Maronggi (Sunda); Merunggai (Melayu); Daun Moringa (Sumatera); Kelar (Sulawesi); Kelo (Jawa).,https://drive.google.com/file/d/1xoq7gHvGC4FaAGRwH7yw7he9vJEWSw6W/view?usp=drive_link,"pohon kecil dengan daun berbentuk oval yang kaya akan nutrisi dan sering digunakan sebagai sayuran dan obat herbal. Daunnya mengandung vitamin C, kalsium, dan protein yang bermanfaat untuk kesehatan tubuh. Dalam pengobatan tradisional, sering digunakan untuk meningkatkan energi, melancarkan ASI pada ibu menyusui, dan memperbaiki fungsi hati. Khasiat lainnya meliputi membantu menurunkan kadar gula darah, meningkatkan daya tahan tubuh, dan memperbaiki kesehatan tulang. Daunnya sering diolah menjadi sup atau teh herbal.","Kelelahan
Pembengkakan
Kulit gatal
Nyeri sendi
Imun lemah","Vitamin C, kalsium, protein, flavonoid.","Rebus 1 sendok teh bubuk kelor atau beberapa daun segar dalam segelas air, lalu minum hangat dua kali sehari. Kandungan antioksidan dan anti-inflamasi pada kelor membantu meredakan rasa sakit dan meningkatkan fleksibilitas sendi."
Kelelahan,"0,95",Kelor,Moringa oleifera,Maronggi (Sunda); Merunggai (Melayu); Daun Moringa (Sumatera); Kelar (Sulawesi); Kelo (Jawa).,https://drive.google.com/file/d/1xoq7gHvGC4FaAGRwH7yw7he9vJEWSw6W/view?usp=drive_link,"pohon kecil dengan daun berbentuk oval yang kaya akan nutrisi dan sering digunakan sebagai sayuran dan obat herbal. Daunnya mengandung vitamin C, kalsium, dan protein yang bermanfaat untuk kesehatan tubuh. Dalam pengobatan tradisional, sering digunakan untuk meningkatkan energi, melancarkan ASI pada ibu menyusui, dan memperbaiki fungsi hati. Khasiat lainnya meliputi membantu menurunkan kadar gula darah, meningkatkan daya tahan tubuh, dan memperbaiki kesehatan tulang. Daunnya sering diolah menjadi sup atau teh herbal.","Kelelahan
Pembengkakan
Kulit gatal
Nyeri sendi
Imun lemah","Vitamin C, kalsium, protein, flavonoid.","Tambahkan 1 sendok teh bubuk kelor ke dalam smoothies, jus, atau air hangat, lalu konsumsi setiap pagi. Kandungan zat besi dan vitamin C pada kelor dapat meningkatkan daya tahan tubuh dan melawan kelelahan akibat imun yang melemah."
Batuk,"0,4",Kembang kertas,Zinnia elegans,Kenikir Jepang (Jawa); Bunga Kertas (Sunda); Bungur Kertas (Sumatera); Kertase (Aceh); Kertane (Sulawesi).,https://drive.google.com/file/d/1xoq7gHvGC4FaAGRwH7yw7he9vJEWSw6W/view?usp=drive_link,"tanaman hias dengan bunga berwarna-warni yang menyerupai kertas, sering ditemukan di pekarangan rumah atau taman. Selain sebagai tanaman hias, bagian bunga dan daunnya memiliki manfaat dalam pengobatan tradisional. Daunnya mengandung senyawa bioaktif yang dikenal memiliki sifat antimikroba dan antiinflamasi. Khasiatnya meliputi membantu meredakan demam, memperbaiki kesehatan kulit, dan mengatasi infeksi ringan. Selain itu, tanaman ini juga dipercaya memiliki efek menenangkan untuk membantu tidur lebih nyenyak.","Batuk
Demam
Nyeri haid
Sakit tenggorokan
Luka","Flavonoid, saponin, tanin, alkaloid.",Rebus segenggam bunga kembang kertas segar dalam dua gelas air hingga tersisa satu gelas. Saring dan minum air rebusan ini hangat dua kali sehari. Bunga ini membantu meredakan batuk dengan sifat ekspektorannya.
Demam,"0,6",Kembang kertas,Zinnia elegans,Kenikir Jepang (Jawa); Bunga Kertas (Sunda); Bungur Kertas (Sumatera); Kertase (Aceh); Kertane (Sulawesi).,https://drive.google.com/file/d/1xoq7gHvGC4FaAGRwH7yw7he9vJEWSw6W/view?usp=drive_link,"tanaman hias dengan bunga berwarna-warni yang menyerupai kertas, sering ditemukan di pekarangan rumah atau taman. Selain sebagai tanaman hias, bagian bunga dan daunnya memiliki manfaat dalam pengobatan tradisional. Daunnya mengandung senyawa bioaktif yang dikenal memiliki sifat antimikroba dan antiinflamasi. Khasiatnya meliputi membantu meredakan demam, memperbaiki kesehatan kulit, dan mengatasi infeksi ringan. Selain itu, tanaman ini juga dipercaya memiliki efek menenangkan untuk membantu tidur lebih nyenyak.","Batuk
Demam
Nyeri haid
Sakit tenggorokan
Luka","Flavonoid, saponin, tanin, alkaloid.",Rebus beberapa bunga kembang kertas dengan daun pandan dalam dua gelas air hingga mendidih. Saring dan minum saat hangat untuk membantu menurunkan suhu tubuh secara alami.
Nyeri haid,"0,7",Kembang kertas,Zinnia elegans,Kenikir Jepang (Jawa); Bunga Kertas (Sunda); Bungur Kertas (Sumatera); Kertase (Aceh); Kertane (Sulawesi).,https://drive.google.com/file/d/1xoq7gHvGC4FaAGRwH7yw7he9vJEWSw6W/view?usp=drive_link,"tanaman hias dengan bunga berwarna-warni yang menyerupai kertas, sering ditemukan di pekarangan rumah atau taman. Selain sebagai tanaman hias, bagian bunga dan daunnya memiliki manfaat dalam pengobatan tradisional. Daunnya mengandung senyawa bioaktif yang dikenal memiliki sifat antimikroba dan antiinflamasi. Khasiatnya meliputi membantu meredakan demam, memperbaiki kesehatan kulit, dan mengatasi infeksi ringan. Selain itu, tanaman ini juga dipercaya memiliki efek menenangkan untuk membantu tidur lebih nyenyak.","Batuk
Demam
Nyeri haid
Sakit tenggorokan
Luka","Flavonoid, saponin, tanin, alkaloid.","Ambil segenggam bunga kembang kertas, rebus dengan segelas air hingga mendidih, lalu tambahkan sedikit madu. Minum saat hangat untuk membantu meredakan nyeri haid dan melancarkan peredaran darah."
Sakit tenggorokan,"0,5",Kembang kertas,Zinnia elegans,Kenikir Jepang (Jawa); Bunga Kertas (Sunda); Bungur Kertas (Sumatera); Kertase (Aceh); Kertane (Sulawesi).,https://drive.google.com/file/d/1xoq7gHvGC4FaAGRwH7yw7he9vJEWSw6W/view?usp=drive_link,"tanaman hias dengan bunga berwarna-warni yang menyerupai kertas, sering ditemukan di pekarangan rumah atau taman. Selain sebagai tanaman hias, bagian bunga dan daunnya memiliki manfaat dalam pengobatan tradisional. Daunnya mengandung senyawa bioaktif yang dikenal memiliki sifat antimikroba dan antiinflamasi. Khasiatnya meliputi membantu meredakan demam, memperbaiki kesehatan kulit, dan mengatasi infeksi ringan. Selain itu, tanaman ini juga dipercaya memiliki efek menenangkan untuk membantu tidur lebih nyenyak.","Batuk
Demam
Nyeri haid
Sakit tenggorokan
Luka","Flavonoid, saponin, tanin, alkaloid.","Seduh bunga kembang kertas segar dengan air panas seperti membuat teh. Biarkan selama 5-10 menit, saring, dan gunakan airnya untuk berkumur. Lakukan dua kali sehari untuk meredakan iritasi tenggorokan."
Luka,"0,8",Kembang kertas,Zinnia elegans,Kenikir Jepang (Jawa); Bunga Kertas (Sunda); Bungur Kertas (Sumatera); Kertase (Aceh); Kertane (Sulawesi).,https://drive.google.com/file/d/1xoq7gHvGC4FaAGRwH7yw7he9vJEWSw6W/view?usp=drive_link,"tanaman hias dengan bunga berwarna-warni yang menyerupai kertas, sering ditemukan di pekarangan rumah atau taman. Selain sebagai tanaman hias, bagian bunga dan daunnya memiliki manfaat dalam pengobatan tradisional. Daunnya mengandung senyawa bioaktif yang dikenal memiliki sifat antimikroba dan antiinflamasi. Khasiatnya meliputi membantu meredakan demam, memperbaiki kesehatan kulit, dan mengatasi infeksi ringan. Selain itu, tanaman ini juga dipercaya memiliki efek menenangkan untuk membantu tidur lebih nyenyak.","Batuk
Demam
Nyeri haid
Sakit tenggorokan
Luka","Flavonoid, saponin, tanin, alkaloid.",Haluskan bunga kembang kertas segar dan tempelkan pada luka setelah membersihkannya. Kandungan antibakteri pada tanaman ini membantu mempercepat proses penyembuhan luka ringan.
Pembengkakan,"0,9",Kembang pukul empat,Mirabilis jalapa,Telesek Tilu (Sunda); Bunga Waktu (Jawa); Bunga Sore (Sumatera); Tepat Waktu (Sulawesi); Bunga Malam (Aceh).,https://drive.google.com/file/d/1xoq7gHvGC4FaAGRwH7yw7he9vJEWSw6W/view?usp=drive_link,"tanaman perdu dengan bunga berwarna cerah yang sering mekar di sore hari, dikenal juga sebagai bunga waktu. Bunganya memiliki aroma harum yang khas dan sering digunakan sebagai penghias taman. Selain itu, tanaman ini memiliki kandungan senyawa bioaktif yang membantu melancarkan peredaran darah dan meredakan nyeri otot. Khasiat lainnya meliputi membantu mengatasi insomnia, meredakan stres, dan mempercepat penyembuhan luka. Dalam pengobatan tradisional, bunganya sering direndam untuk dijadikan air kompres.","Pembengkakan
Nyeri otot
Bisul
Kulit gatal
Sakit kepala","Flavonoid, tanin, alkaloid, minyak atsiri.","Untuk mengatasi bengkak atau memar, hancurkan daun kembang pukul 4 hingga halus, lalu tempelkan pada area yang bengkak. Biarkan selama 20-30 menit sebelum dibilas. Daun ini memiliki sifat anti-inflamasi yang membantu meredakan pembengkakan."
Nyeri otot,"0,7",Kembang pukul empat,Mirabilis jalapa,Telesek Tilu (Sunda); Bunga Waktu (Jawa); Bunga Sore (Sumatera); Tepat Waktu (Sulawesi); Bunga Malam (Aceh).,https://drive.google.com/file/d/1xoq7gHvGC4FaAGRwH7yw7he9vJEWSw6W/view?usp=drive_link,"tanaman perdu dengan bunga berwarna cerah yang sering mekar di sore hari, dikenal juga sebagai bunga waktu. Bunganya memiliki aroma harum yang khas dan sering digunakan sebagai penghias taman. Selain itu, tanaman ini memiliki kandungan senyawa bioaktif yang membantu melancarkan peredaran darah dan meredakan nyeri otot. Khasiat lainnya meliputi membantu mengatasi insomnia, meredakan stres, dan mempercepat penyembuhan luka. Dalam pengobatan tradisional, bunganya sering direndam untuk dijadikan air kompres.","Pembengkakan
Nyeri otot
Bisul
Kulit gatal
Sakit kepala","Flavonoid, tanin, alkaloid, minyak atsiri.",Rebus daun atau akar kembang pukul 4 dalam segelas air hingga mendidih. Gunakan air rebusan yang hangat untuk kompres di area otot yang terasa nyeri. Lakukan dua kali sehari untuk meredakan ketegangan otot.
Luka,"0,85",Kembang pukul empat,Mirabilis jalapa,Telesek Tilu (Sunda); Bunga Waktu (Jawa); Bunga Sore (Sumatera); Tepat Waktu (Sulawesi); Bunga Malam (Aceh).,https://drive.google.com/file/d/1xoq7gHvGC4FaAGRwH7yw7he9vJEWSw6W/view?usp=drive_link,"tanaman perdu dengan bunga berwarna cerah yang sering mekar di sore hari, dikenal juga sebagai bunga waktu. Bunganya memiliki aroma harum yang khas dan sering digunakan sebagai penghias taman. Selain itu, tanaman ini memiliki kandungan senyawa bioaktif yang membantu melancarkan peredaran darah dan meredakan nyeri otot. Khasiat lainnya meliputi membantu mengatasi insomnia, meredakan stres, dan mempercepat penyembuhan luka. Dalam pengobatan tradisional, bunganya sering direndam untuk dijadikan air kompres.","Pembengkakan
Nyeri otot
Bisul
Kulit gatal
Sakit kepala","Flavonoid, tanin, alkaloid, minyak atsiri.",Haluskan daun kembang pukul 4 dan campur dengan sedikit garam. Tempelkan ramuan ini langsung ke area bisul. Biarkan selama beberapa jam sebelum dibilas. Ini membantu mengeluarkan nanah dan mempercepat penyembuhan.
Kulit gatal,"0,8",Kembang pukul empat,Mirabilis jalapa,Telesek Tilu (Sunda); Bunga Waktu (Jawa); Bunga Sore (Sumatera); Tepat Waktu (Sulawesi); Bunga Malam (Aceh).,https://drive.google.com/file/d/1xoq7gHvGC4FaAGRwH7yw7he9vJEWSw6W/view?usp=drive_link,"tanaman perdu dengan bunga berwarna cerah yang sering mekar di sore hari, dikenal juga sebagai bunga waktu. Bunganya memiliki aroma harum yang khas dan sering digunakan sebagai penghias taman. Selain itu, tanaman ini memiliki kandungan senyawa bioaktif yang membantu melancarkan peredaran darah dan meredakan nyeri otot. Khasiat lainnya meliputi membantu mengatasi insomnia, meredakan stres, dan mempercepat penyembuhan luka. Dalam pengobatan tradisional, bunganya sering direndam untuk dijadikan air kompres.","Pembengkakan
Nyeri otot
Bisul
Kulit gatal
Sakit kepala","Flavonoid, tanin, alkaloid, minyak atsiri.","Untuk mengatasi gatal-gatal, rebus daun kembang pukul 4 dalam air hingga mendidih. Gunakan air rebusan hangat untuk mencuci area kulit yang gatal. Sifat antimikroba pada daun ini membantu mengurangi iritasi."
Sakit kepala,"0,5",Kembang pukul empat,Mirabilis jalapa,Telesek Tilu (Sunda); Bunga Waktu (Jawa); Bunga Sore (Sumatera); Tepat Waktu (Sulawesi); Bunga Malam (Aceh).,https://drive.google.com/file/d/1xoq7gHvGC4FaAGRwH7yw7he9vJEWSw6W/view?usp=drive_link,"tanaman perdu dengan bunga berwarna cerah yang sering mekar di sore hari, dikenal juga sebagai bunga waktu. Bunganya memiliki aroma harum yang khas dan sering digunakan sebagai penghias taman. Selain itu, tanaman ini memiliki kandungan senyawa bioaktif yang membantu melancarkan peredaran darah dan meredakan nyeri otot. Khasiat lainnya meliputi membantu mengatasi insomnia, meredakan stres, dan mempercepat penyembuhan luka. Dalam pengobatan tradisional, bunganya sering direndam untuk dijadikan air kompres.","Pembengkakan
Nyeri otot
Bisul
Kulit gatal
Sakit kepala","Flavonoid, tanin, alkaloid, minyak atsiri.","Hancurkan bunga kembang pukul 4 hingga halus, kemudian tempelkan di area pelipis. Biarkan selama 15-20 menit untuk membantu meredakan sakit kepala. Aroma bunga ini juga memberikan efek menenangkan."
Nyeri otot,"0,8",Kemuning,Murraya paniculata,Orang Aring (Sumatera); Daun Kemuning (Jawa); Daun Muning (Sunda); Muning Alas (Aceh); Muning Wija (Sulawesi).,https://drive.google.com/file/d/1xoq7gHvGC4FaAGRwH7yw7he9vJEWSw6W/view?usp=drive_link,"tanaman semak kecil dengan daun kecil hijau terang dan bunga putih yang sering digunakan sebagai tanaman obat. Daunnya mengandung senyawa flavonoid dan minyak atsiri yang memiliki sifat antioksidan dan antimikroba. Khasiat utamanya meliputi membantu melancarkan peredaran darah, meredakan nyeri menstruasi, dan memperbaiki kesehatan kulit. Selain itu, tanaman ini juga digunakan dalam pengobatan tradisional untuk mengatasi stres dan meningkatkan relaksasi. Tanaman ini sering ditemukan di daerah tropis.","Nyeri otot
Perut kembung 
Kram perut
Pembengkakan
Susah tidur","Flavonoid, tanin, minyak atsiri, alkaloid.","Untuk meredakan nyeri otot, gunakan daun kemuning segar. Tumbuk segenggam daun hingga halus, lalu balurkan pada area otot yang sakit. Biarkan selama 30 menit, lalu bilas dengan air hangat. Sifat anti-inflamasi kemuning membantu meredakan nyeri dan ketegangan otot."
